dep,revratio2022,revratioadu2022,revratiofoy2022,revtot2022,pop2022_x,nadult2022,nfoyer2022,revmoyfoy2022,revmoyadu2022,revmoy2022,pibhab2022,pib2022,pop2022_y,nodiph2022,nodipf2022,nodip2022,bach2022,bacf2022,bac2022,suph2022,supf2022,sup2022,pbac2022,psup2022,popf2022,poph2022,popf0142022,popf15392022,popf40592022,popf60p2022,poph0142022,poph15392022,poph40592022,poph60p2022,agef2022,ageh2022,age2022,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
26,0.91852933,0.91760564,0.91434038,0.0073983991,534365,406429,305864,30203.809,22730.311,17312.979,0.89128649,0.0071981885,534365,96563,99305,195601,29883,36679,66125,54905,65088,119771,0.48728037,0.31395003,273748,260600,48971,68092,69210,87475,50492,72028,67195,70885,44.30117088946733,41.07853919590608,42.72950237373288,534348,0.51230282,0.49235395,0.48595491,0.50738609,0.55238068,0.186139,0.2622261,0.25527373,0.29636118
27,0.83702445,0.86326522,0.91734165,0.0075784195,600667,484767,342091,30302.951,21384.227,15776.728,0.66120052,0.006002537,600667,132352,137946,270088,35940,42275,77239,51435,63679,114585,0.41528258,0.24806674,340672,320011,64746,87577,89875,98474,66072,87475,87747,78717,42.32854614485347,39.90341691448021,41.15390107099632,660683,0.51563609,0.49493188,0.50029135,0.50599027,0.55575055,0.19800419,0.26495612,0.26884604,0.26819366
28,0.90926188,0.91850191,0.95241076,0.0058849882,429388,338916,245100,31461.404,22752.512,17138.301,0.72959328,0.0047347671,429388,93056,96173,189042,21643,27244,48157,39414,46320,85443,0.41408125,0.26482293,233537,219547,43063,57883,61043,71548,43356,57826,59601,58764,43.6568961705174,40.99227207411472,42.36572239275633,453084,0.51543862,0.49830478,0.50024629,0.50597626,0.54905152,0.19073506,0.2553809,0.26627293,0.28761113
29,0.95371163,0.92750573,0.93200409,0.01328766,924325,724419,540610,30787.303,22975.549,17976.115,0.80819088,0.011290328,924325,148458,167732,316155,62917,65054,127822,105643,120312,225936,0.52806556,0.33726171,474764,451601,73385,115439,122729,163211,78080,123945,122409,127167,45.80752846769041,41.93142035371751,43.91793360180399,926365,0.51250207,0.48450136,0.48223355,0.50065267,0.56206393,0.16350466,0.25841218,0.26462355,0.3134596
2A,0.94156545,0.90013206,0.93911505,0.0023468912,165362,130923,94102,31022.201,22297.467,17747.178,0.88384295,0.0022089134,165362,30367,30744,61108,12259,15361,27604,16824,20250,37068,0.51416761,0.29470503,84889,79602,11902,22032,23084,27871,13006,20581,22442,23573,46.04384442858894,43.57957884696335,44.85131408556713,164491,0.51607078,0.47783846,0.51702529,0.50705093,0.54177356,0.15142469,0.25905976,0.27676895,0.31274658
2B,0.81156719,0.78202701,0.8249141,0.0023402367,191306,146285,103994,27249.752,19371.848,15296.894,0.72075069,0.0020839225,191306,36143,33662,69787,11757,15815,27531,17727,22606,40316,0.49295232,0.29292181,95825,89619,14437,25493,25505,30390,14754,24389,24158,26318,44.94053991606862,43.30380346379752,44.14955864726915,185444,0.51673281,0.49457026,0.51106614,0.51356143,0.53590322,0.1574114,0.26898685,0.2678059,0.30579582
30,0.86787349,0.84810311,0.85198534,0.0099531226,760845,600681,448390,28144.008,21008.641,16358.188,0.68240666,0.007847066,760845,143957,149184,292916,43530,52858,95921,75931,94278,170063,0.47590625,0.30428162,399035,373047,64515,98381,102755,133384,66716,100444,95973,109914,45.269905011043,42.30929646368796,43.83942771009887,772082,0.51682985,0.49161401,0.49481201,0.5170635,0.54823303,0.16997029,0.25751799,0.25739235,0.31511939
31,1.0069032,1.0166898,1.0277811,0.022498976,1482410,1098394,814782,33951.148,25184.756,18978.701,1.1354162,0.025438489,1482410,182724,188218,370543,72050,86393,157670,221274,237488,458269,0.62437934,0.46454877,747157,710555,126619,255038,187312,178188,131400,249523,184306,145326,40.16197614527979,38.28749674033715,39.2482689091221,1457712,0.51255459,0.49073517,0.50546515,0.50404447,0.55078912,0.17700273,0.34613216,0.25493237,0.22193272
32,0.86588001,0.82601351,0.83446747,0.0025075949,192129,157801,117134,27565.332,20461.451,16320.613,0.64022923,0.0018590724,192129,40114,39387,78852,13678,15324,28102,19540,23249,42287,0.47164652,0.28334707,100128,97751,15099,20440,26615,37974,16294,21047,26804,33606,48.29360156914189,45.87406668202681,47.09836637455992,197879,0.50600618,0.4809671,0.49268445,0.49823096,0.53051132,0.15864746,0.20965843,0.2699579,0.36173621
33,1.0058079,0.9991774,0.99895751,0.026099022,1721482,1298747,974127,32999.004,24750.951,18958.057,0.9604671,0.024989229,1721482,256651,278683,535167,90921,111751,202146,207644,237485,444736,0.5472548,0.37624159,882656,814064,142850,268629,224959,246218,148706,258727,215639,190992,42.30112105394704,39.56857202770917,40.99008013050663,1696720,0.52021313,0.48995733,0.50938833,0.51057655,0.56315732,0.17183506,0.31080908,0.25967631,0.25767952
34,0.91902441,0.90465492,0.89098686,0.017230628,1243848,941754,717042,29432.361,22409.504,17322.311,0.78904504,0.014833272,1243848,191218,200125,391202,63593,82523,145731,146054,175471,321322,0.5441891,0.37438989,634139,584951,98777,185914,154209,195239,104684,181316,145650,153301,43.60354877320386,40.61893705987649,42.17145464371093,1219090,0.52017409,0.48548371,0.5062604,0.51427174,0.56016237,0.16689579,0.30123287,0.24596953,0.28590178
